Question,Answer
জিইডি অর্থ কি,"জিইডি হচ্ছে জেনারেল এডুকেশনাল ডেভেলপমেন্ট, এটি একটি শর্ট কোর্স।"
জিইডি প্রতিশব্দ কি,"জিইডি হচ্ছে জেনারেল এডুকেশনাল ডেভেলপমেন্ট, এটি একটি শর্ট কোর্স।"
জিইডি অর্থঃ কি,"জিইডি হচ্ছে জেনারেল এডুকেশনাল ডেভেলপমেন্ট, এটি একটি শর্ট কোর্স।"
জিইডি ε কি,"জিইডি হচ্ছে জেনারেল এডুকেশনাল ডেভেলপমেন্ট, এটি একটি শর্ট কোর্স।"
জিইডি মানে কী,"জিইডি হচ্ছে জেনারেল এডুকেশনাল ডেভেলপমেন্ট, এটি একটি শর্ট কোর্স।"
জিইডি মানে ?,"জিইডি হচ্ছে জেনারেল এডুকেশনাল ডেভেলপমেন্ট, এটি একটি শর্ট কোর্স।"
জিইডি মানে ...,"জিইডি হচ্ছে জেনারেল এডুকেশনাল ডেভেলপমেন্ট, এটি একটি শর্ট কোর্স।"
জিইডি মানে কেমন,"জিইডি হচ্ছে জেনারেল এডুকেশনাল ডেভেলপমেন্ট, এটি একটি শর্ট কোর্স।"
সিএসই তে কী কী সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে ? ? সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে ... ... সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কোথায় কোথায় সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কেমন কেমন সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি সাবজেক্ট এর ওপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি সাবজেক্ট এর উপরও অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি সাবজেক্ট এর উপরেও অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি সাবজেক্ট এর উপরই অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি সাবজেক্ট এর উপরে অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি স্ট্যান্ডিং এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি ওয়ার্কিং এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি প্রটেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তে কি কি রিফর্ম এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই য় কি কি সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই -তে কি কি সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই তেও কি কি সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই -এ কি কি সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
সিএসই য়ে কি কি সাবজেক্ট এর উপর অ্যাডমিশান এক্সাম,"সিএসই তে দুই ঘন্টার এডমিশন টেস্ট হয় যেখানে ইংলিশের উপরে 
বহু নির্বাচনী, রচনা এবং অনুচ্ছেদ রাইটিং থাকে এবং এইচ এস সি সিলেবাস এর উপরে ম্যাথমেটিকস্ এবং ফিজিক্স এক্সাম থাকে"
"এইচএসসি য় হায়ার ম্যাথ অপশনাল ছিল, সিএসই য় ভর্তি হয় প্রব্লেম হবে",কোন প্রবলেম হবে না
"এইচএসসি -তে হায়ার ম্যাথ অপশনাল ছিল, সিএসই -তে ভর্তি হ-তে প্রব্লেম হবে",কোন প্রবলেম হবে না
"এইচএসসি তেও হায়ার ম্যাথ অপশনাল ছিল, সিএসই তেও ভর্তি হতেও প্রব্লেম হবে",কোন প্রবলেম হবে না
"এইচএসসি -এ হায়ার ম্যাথ অপশনাল ছিল, সিএসই -এ ভর্তি হ-এ প্রব্লেম হবে",কোন প্রবলেম হবে না
"এইচএসসি য়ে হায়ার ম্যাথ অপশনাল ছিল, সিএসই য়ে ভর্তি হয়ে প্রব্লেম হবে",কোন প্রবলেম হবে না
এইচএসসি তে হায়ার ম্যাথ অপশনাল ছিল; সিএসই তে ভর্তি হতে প্রব্লেম হবে,কোন প্রবলেম হবে না
এইচএসসি তে হায়ার ম্যাথ অপশনাল ছিল- সিএসই তে ভর্তি হতে প্রব্লেম হবে,কোন প্রবলেম হবে না
এইচএসসি তে হায়ার ম্যাথ অপশনাল ছিলএবং সিএসই তে ভর্তি হতে প্রব্লেম হবে,কোন প্রবলেম হবে না
এইচএসসি তে হায়ার ম্যাথ অপশনাল ছিলযেমন সিএসই তে ভর্তি হতে প্রব্লেম হবে,কোন প্রবলেম হবে না
